datetime,Data,Hora,LS,TEMP,UR
10/27/2016 1:00,27/10/2016,1:00,0,20.6,90
10/27/2016 2:00,27/10/2016,2:00,0,20.4,90
10/27/2016 3:00,27/10/2016,3:00,0,20.1,93
10/27/2016 4:00,27/10/2016,4:00,0,21,86
10/27/2016 5:00,27/10/2016,5:00,0,21,83
10/27/2016 6:00,27/10/2016,6:00,0,20.7,85
10/27/2016 7:00,27/10/2016,7:00,0,20.9,83
10/27/2016 8:00,27/10/2016,8:00,0,21,83
10/27/2016 9:00,27/10/2016,9:00,0,21.7,79
10/27/2016 10:00,27/10/2016,10:00,0,23.1,72
10/27/2016 11:00,27/10/2016,11:00,0,24.4,67
10/27/2016 12:00,27/10/2016,12:00,0,25,64
10/27/2016 13:00,27/10/2016,13:00,0,24.5,67
10/27/2016 14:00,27/10/2016,14:00,0,24.6,69
10/27/2016 15:00,27/10/2016,15:00,0,26.1,60
10/27/2016 16:00,27/10/2016,16:00,1,27.2,56
10/27/2016 17:00,27/10/2016,17:00,0,22.8,81
10/27/2016 18:00,27/10/2016,18:00,0,22.4,80
10/27/2016 19:00,27/10/2016,19:00,0,22.3,78
10/27/2016 20:00,27/10/2016,20:00,0,22.3,78
10/27/2016 21:00,27/10/2016,21:00,0,22.1,78
10/27/2016 22:00,27/10/2016,22:00,0,21.6,71
10/27/2016 23:00,27/10/2016,23:00,0,21.1,68
10/28/2016 0:00,27/10/2016,0:00,0,20.5,67
10/28/2016 1:00,28/10/2016,1:00,0,19.9,69
10/28/2016 2:00,28/10/2016,2:00,0,19.2,70
10/28/2016 3:00,28/10/2016,3:00,0,18.5,72
10/28/2016 4:00,28/10/2016,4:00,0,18,72
10/28/2016 5:00,28/10/2016,5:00,0,17.6,70
10/28/2016 6:00,28/10/2016,6:00,0,17.2,73
10/28/2016 7:00,28/10/2016,7:00,0,16.8,73
10/28/2016 8:00,28/10/2016,8:00,0,17.5,68
10/28/2016 9:00,28/10/2016,9:00,0,18.7,65
10/28/2016 10:00,28/10/2016,10:00,0,19.3,66
10/28/2016 11:00,28/10/2016,11:00,0,18.5,72
10/28/2016 12:00,28/10/2016,12:00,0,20.2,63
10/28/2016 13:00,28/10/2016,13:00,0,21.4,58
10/28/2016 14:00,28/10/2016,14:00,0,23.3,50
10/28/2016 15:00,28/10/2016,15:00,0,21.4,57
10/28/2016 16:00,28/10/2016,16:00,0,20.3,56
10/28/2016 17:00,28/10/2016,17:00,0,18.9,60
10/28/2016 18:00,28/10/2016,18:00,0,16.7,66
10/28/2016 19:00,28/10/2016,19:00,0,15.1,71
10/28/2016 20:00,28/10/2016,20:00,0,14.7,71
10/28/2016 21:00,28/10/2016,21:00,0,14.5,71
10/28/2016 22:00,28/10/2016,22:00,0,14.3,72
10/28/2016 23:00,28/10/2016,23:00,0,13.8,74
10/29/2016 0:00,28/10/2016,0:00,0,13.6,75
10/29/2016 1:00,29/10/2016,1:00,0,13.6,74
10/29/2016 2:00,29/10/2016,2:00,0,13.5,75
10/29/2016 3:00,29/10/2016,3:00,0,13.3,77
10/29/2016 4:00,29/10/2016,4:00,0,13.1,79
10/29/2016 5:00,29/10/2016,5:00,0,13.3,79
10/29/2016 6:00,29/10/2016,6:00,0,13.1,80
10/29/2016 7:00,29/10/2016,7:00,0,13.1,82
10/29/2016 8:00,29/10/2016,8:00,0,14.1,78
10/29/2016 9:00,29/10/2016,9:00,1,15.4,71
10/29/2016 10:00,29/10/2016,10:00,0,17.1,63
10/29/2016 11:00,29/10/2016,11:00,0,18.5,53
10/29/2016 12:00,29/10/2016,12:00,0,19.4,51
10/29/2016 13:00,29/10/2016,13:00,0,20.7,49
10/29/2016 14:00,29/10/2016,14:00,0,21.4,49
10/29/2016 15:00,29/10/2016,15:00,0,21.4,52
10/29/2016 16:00,29/10/2016,16:00,0,20.4,58
10/29/2016 17:00,29/10/2016,17:00,0,20,60
10/29/2016 18:00,29/10/2016,18:00,0,18.8,66
10/29/2016 19:00,29/10/2016,19:00,0,17.1,75
10/29/2016 20:00,29/10/2016,20:00,0,16.5,77
10/29/2016 21:00,29/10/2016,21:00,0,16.2,78
